timestamp,phase,flighttime,lat,lon,alt,pressure,temperature,voltage
2024-08-20T10:03:52+09:00,0,191,0.00,40.2423,140.0103,2.79,1014.97,33.70,5.6
2024-08-20T10:03:57+09:00,0,196,0.00,40.2423,140.0103,2.79,1014.98,33.70,5.6
2024-08-20T10:04:02+09:00,0,201,0.00,40.2423,140.0103,2.79,1014.94,33.70,5.6
2024-08-20T10:04:07+09:00,0,206,0.00,40.2423,140.0103,2.79,1014.95,33.70,5.6
2024-08-20T10:04:10+09:00,1,209,0.00,40.2423,140.0103,2.79,1014.95,33.70,5.6
2024-08-20T10:04:11+09:00,1,210,0.00,40.2423,140.0103,2.79,1014.95,33.70,5.6
2024-08-20T10:04:12+09:00,1,211,0.00,40.2423,140.0103,2.79,1014.95,33.70,5.6
2024-08-20T10:04:13+09:00,1,212,0.00,40.2423,140.0103,2.79,1014.95,33.70,5.6
2024-08-20T10:04:14+09:00,1,213,0.00,40.2423,140.0103,2.79,1014.82,33.60,5.6
2024-08-20T10:04:15+09:00,1,214,0.00,40.2423,140.0103,2.89,1014.82,33.60,5.6
2024-08-20T10:04:16+09:00,1,215,0.00,40.2423,140.0103,2.89,1014.80,33.60,5.6
2024-08-20T10:04:17+09:00,1,216,0.00,40.2423,140.0103,2.89,1014.80,33.60,5.6
2024-08-20T10:04:18+09:00,1,217,0.00,40.2423,140.0103,2.89,1014.83,33.60,5.6
2024-08-20T10:04:19+09:00,1,218,0.00,40.2423,140.0103,2.89,1014.80,33.60,5.6
2024-08-20T10:04:20+09:00,1,219,0.00,40.2423,140.0103,2.89,1014.78,33.60,5.6
2024-08-20T10:04:21+09:00,1,220,0.00,40.2423,140.0103,2.89,1014.81,33.60,5.6
2024-08-20T10:04:22+09:00,1,221,0.00,40.2423,140.0103,2.89,1014.81,33.60,5.6
2024-08-20T10:04:23+09:00,1,222,0.00,40.2423,140.0103,2.89,1014.81,33.60,5.6
2024-08-20T10:04:24+09:00,1,223,0.00,40.2423,140.0103,2.89,1014.82,33.60,5.6
2024-08-20T10:04:25+09:00,1,224,0.00,40.2423,140.0103,2.89,1014.84,33.60,5.6
